Code zone;Zone;Code Élément;Élément;Produit;Année;Unité;Valeur
137;Maurice;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;2
136;Mauritanie;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;24
138;Mexique;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;972
141;Mongolie;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;10
273;Monténégro;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;8
144;Mozambique;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;24
28;Myanmar;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;3
147;Namibie;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;29
149;Népal;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
157;Nicaragua;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;6
158;Niger;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;3
159;Nigéria;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
162;Norvège;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;2
153;Nouvelle-Calédonie;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;9
156;Nouvelle-Zélande;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;1
221;Oman;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;126
226;Ouganda;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
165;Pakistan;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;2
166;Panama;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;20
169;Paraguay;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;1
150;Pays-Bas;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;608
170;Pérou;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;60
171;Philippines;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;249
173;Pologne;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;55
70;Polynésie française;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;15
174;Portugal;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;82
37;République centrafricaine;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;4
117;République de Corée;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;137
146;République de Moldova;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;16
56;République dominicaine;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;42
116;République populaire démocratique de Corée;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
215;République-Unie de Tanzanie;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;2
183;Roumanie;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;146
229;Royaume-Uni de Grande-Bretagne et d'Irlande du Nord;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;779
184;Rwanda;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
189;Sainte-Lucie;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;10
188;Saint-Kitts-et-Nevis;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;4
191;Saint-Vincent-et-les Grenadines;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;9
244;Samoa;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;17
193;Sao Tomé-et-Principe;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;2
195;Sénégal;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
272;Serbie;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;12
197;Sierra Leone;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;14
199;Slovaquie;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;63
198;Slovénie;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;20
276;Soudan;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;2
38;Sri Lanka;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
210;Suède;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;84
211;Suisse;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;51
207;Suriname;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;18
208;Tadjikistan;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;38
39;Tchad;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;1
167;Tchéquie;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;116
216;Thaïlande;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;2
176;Timor-Leste;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;11
217;Togo;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;16
220;Trinité-et-Tobago;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;23
222;Tunisie;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
