Code zone;Zone;Code Élément;Élément;Produit;Année;Unité;Valeur
149;Népal;5511;Production;Viande de Volailles;2017;Milliers de tonnes;58
157;Nicaragua;5511;Production;Viande de Volailles;2017;Milliers de tonnes;143
158;Niger;5511;Production;Viande de Volailles;2017;Milliers de tonnes;19
159;Nigéria;5511;Production;Viande de Volailles;2017;Milliers de tonnes;201
162;Norvège;5511;Production;Viande de Volailles;2017;Milliers de tonnes;101
153;Nouvelle-Calédonie;5511;Production;Viande de Volailles;2017;Milliers de tonnes;1
156;Nouvelle-Zélande;5511;Production;Viande de Volailles;2017;Milliers de tonnes;223
221;Oman;5511;Production;Viande de Volailles;2017;Milliers de tonnes;7
226;Ouganda;5511;Production;Viande de Volailles;2017;Milliers de tonnes;65
165;Pakistan;5511;Production;Viande de Volailles;2017;Milliers de tonnes;1281
166;Panama;5511;Production;Viande de Volailles;2017;Milliers de tonnes;198
169;Paraguay;5511;Production;Viande de Volailles;2017;Milliers de tonnes;45
150;Pays-Bas;5511;Production;Viande de Volailles;2017;Milliers de tonnes;1100
170;Pérou;5511;Production;Viande de Volailles;2017;Milliers de tonnes;1465
171;Philippines;5511;Production;Viande de Volailles;2017;Milliers de tonnes;1272
173;Pologne;5511;Production;Viande de Volailles;2017;Milliers de tonnes;2351
70;Polynésie française;5511;Production;Viande de Volailles;2017;Milliers de tonnes;1
174;Portugal;5511;Production;Viande de Volailles;2017;Milliers de tonnes;361
37;République centrafricaine;5511;Production;Viande de Volailles;2017;Milliers de tonnes;7
117;République de Corée;5511;Production;Viande de Volailles;2017;Milliers de tonnes;838
146;République de Moldova;5511;Production;Viande de Volailles;2017;Milliers de tonnes;54
56;République dominicaine;5511;Production;Viande de Volailles;2017;Milliers de tonnes;339
116;République populaire démocratique de Corée;5511;Production;Viande de Volailles;2017;Milliers de tonnes;43
215;République-Unie de Tanzanie;5511;Production;Viande de Volailles;2017;Milliers de tonnes;105
183;Roumanie;5511;Production;Viande de Volailles;2017;Milliers de tonnes;392
229;Royaume-Uni de Grande-Bretagne et d'Irlande du Nord;5511;Production;Viande de Volailles;2017;Milliers de tonnes;1814
184;Rwanda;5511;Production;Viande de Volailles;2017;Milliers de tonnes;19
189;Sainte-Lucie;5511;Production;Viande de Volailles;2017;Milliers de tonnes;1
188;Saint-Kitts-et-Nevis;5511;Production;Viande de Volailles;2017;Milliers de tonnes;0
191;Saint-Vincent-et-les Grenadines;5511;Production;Viande de Volailles;2017;Milliers de tonnes;0
244;Samoa;5511;Production;Viande de Volailles;2017;Milliers de tonnes;0
193;Sao Tomé-et-Principe;5511;Production;Viande de Volailles;2017;Milliers de tonnes;1
195;Sénégal;5511;Production;Viande de Volailles;2017;Milliers de tonnes;77
272;Serbie;5511;Production;Viande de Volailles;2017;Milliers de tonnes;85
197;Sierra Leone;5511;Production;Viande de Volailles;2017;Milliers de tonnes;17
199;Slovaquie;5511;Production;Viande de Volailles;2017;Milliers de tonnes;71
198;Slovénie;5511;Production;Viande de Volailles;2017;Milliers de tonnes;72
276;Soudan;5511;Production;Viande de Volailles;2017;Milliers de tonnes;67
38;Sri Lanka;5511;Production;Viande de Volailles;2017;Milliers de tonnes;192
210;Suède;5511;Production;Viande de Volailles;2017;Milliers de tonnes;157
211;Suisse;5511;Production;Viande de Volailles;2017;Milliers de tonnes;91
207;Suriname;5511;Production;Viande de Volailles;2017;Milliers de tonnes;10
208;Tadjikistan;5511;Production;Viande de Volailles;2017;Milliers de tonnes;2
39;Tchad;5511;Production;Viande de Volailles;2017;Milliers de tonnes;6
167;Tchéquie;5511;Production;Viande de Volailles;2017;Milliers de tonnes;163
216;Thaïlande;5511;Production;Viande de Volailles;2017;Milliers de tonnes;1676
176;Timor-Leste;5511;Production;Viande de Volailles;2017;Milliers de tonnes;1
217;Togo;5511;Production;Viande de Volailles;2017;Milliers de tonnes;40
220;Trinité-et-Tobago;5511;Production;Viande de Volailles;2017;Milliers de tonnes;61
222;Tunisie;5511;Production;Viande de Volailles;2017;Milliers de tonnes;213
213;Turkménistan;5511;Production;Viande de Volailles;2017;Milliers de tonnes;20
223;Turquie;5511;Production;Viande de Volailles;2017;Milliers de tonnes;2192
230;Ukraine;5511;Production;Viande de Volailles;2017;Milliers de tonnes;1211
234;Uruguay;5511;Production;Viande de Volailles;2017;Milliers de tonnes;33
155;Vanuatu;5511;Production;Viande de Volailles;2017;Milliers de tonnes;1
236;Venezuela (République bolivarienne du);5511;Production;Viande de Volailles;2017;Milliers de tonnes;600
237;Viet Nam;5511;Production;Viande de Volailles;2017;Milliers de tonnes;918
249;Yémen;5511;Production;Viande de Volailles;2017;Milliers de tonnes;168
251;Zambie;5511;Production;Viande de Volailles;2017;Milliers de tonnes;49
181;Zimbabwe;5511;Production;Viande de Volailles;2017;Milliers de tonnes;69
