Code zone;Zone;Code Élément;Élément;Produit;Année;Unité;Valeur
41;Chine, continentale;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;576
214;Chine, Taiwan Province de;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;8
50;Chypre;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;1
44;Colombie;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;2
46;Congo;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
48;Costa Rica;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;3
107;Côte d'Ivoire;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
98;Croatie;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;17
54;Danemark;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;139
55;Dominique;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
59;Égypte;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;1
60;El Salvador;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;2
225;Émirats arabes unis;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;94
58;Équateur;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
203;Espagne;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;212
63;Estonie;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;11
209;Eswatini;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
231;États-Unis d'Amérique;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;3692
185;Fédération de Russie;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;115
66;Fidji;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
67;Finlande;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;12
68;France;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;501
74;Gabon;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
73;Géorgie;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;5
81;Ghana;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
84;Grèce;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;29
89;Guatemala;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;7
91;Guyana;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
95;Honduras;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;1
97;Hongrie;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;210
25;Îles Salomon;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
100;Inde;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;4
101;Indonésie;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
102;Iran (République islamique d');5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;45
103;Iraq;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
104;Irlande;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;93
99;Islande;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
105;Israël;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;3
106;Italie;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;183
109;Jamaïque;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;1
110;Japon;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;10
112;Jordanie;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;10
108;Kazakhstan;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;6
114;Kenya;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
113;Kirghizistan;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
118;Koweït;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;4
122;Lesotho;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
119;Lettonie;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;20
121;Liban;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;4
123;Libéria;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
126;Lituanie;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;68
256;Luxembourg;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;1
154;Macédoine du Nord;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;1
131;Malaisie;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;44
134;Malte;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
143;Maroc;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;1
137;Maurice;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
138;Mexique;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;9
273;Monténégro;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
28;Myanmar;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
147;Namibie;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;12
157;Nicaragua;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
158;Niger;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
159;Nigéria;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
162;Norvège;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
156;Nouvelle-Zélande;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;23
221;Oman;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;16
226;Ouganda;5911;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
